title,rating,number_of_reviews,category,address,website,email,registration_date,phone,img_link,link
"Homecleaning, Pakistan's No.1 Cleaning Solution!",4.5,11,House cleaning service,"street 21st, Badar Commercial Area Defence V Defence Housing Authority, Karachi, Karachi City, Sindh 75500",http://www.homecleaning.pk/,info@homebrigade.pk,2023,3322872818,https://lh5.googleusercontent.com/p/AF1QipOImqBKa5N4hb6S7I5yoLXKPhiOcRTIvK0tUoWq=w408-h408-k-no,"https://www.google.com/maps/place/Homecleaning,+Pakistan%27s+No.1+Cleaning+Solution!/data=!4m7!3m6!1s0x3eb33f8b6762c147:0x1a86f376d029a301!8m2!3d24.8034943!4d67.0502211!16s%2Fg%2F11nx5dlp1c!19sChIJR8FiZ4s_sz4RAaMp0Hbzhho?authuser=0&hl=en&rclk=1"
J&I Cleaning,4.4,77,Commercial cleaning service,"Unit 4, Eastcote Industrial Estate, Field End Rd, London, Ruislip HA4 9XG, United Kingdom",https://jicleaning.com/,info@jicleaning.com,,4.42089E+11,https://lh5.googleusercontent.com/p/AF1QipMsY3BRgixMV_6ThdXrV32DhsBoHoqBalUiAQTt=w408-h272-k-no,https://www.google.com/maps/place/J%26I+Cleaning/data=!4m7!3m6!1s0x48766cc0e4349b23:0xe06897b14480589c!8m2!3d51.5754417!4d-0.3985638!16s%2Fg%2F1tm0sngb!19sChIJI5s05MBsdkgRnFiARLGXaOA?authuser=0&hl=en&rclk=1
Coherent Engineering Management Private Limited,4.9,39,Engineering consultant,"4th Floor, Al-Shams Center, Block 13 A Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300",http://www.cemengg.com/,info@cemengg.com,No date,3332363644,https://lh5.googleusercontent.com/p/AF1QipMkx8YjeT22W1JvbiNdl2MDfgR86cmr-luSiKoo=w408-h306-k-no,https://www.google.com/maps/place/Coherent+Engineering+Management+Private+Limited/data=!4m7!3m6!1s0x3eb341fbf38ad4d9:0xffe445b98e5fb373!8m2!3d24.9039017!4d67.0768486!16s%2Fg%2F11fp8cjrfr!19sChIJ2dSK8_tBsz4Rc7NfjrlF5P8?authuser=0&hl=en&rclk=1
"SF Quality Cleaning, Inc.",4.9,39,House cleaning service,"533 Airport Blvd. #400, Burlingame, CA 94010, United States",https://www.sfqualitycleaning.com/,info@sfqualitycleaning.com,,16509218630,https://lh5.googleusercontent.com/p/AF1QipM_QKsoDMEjt0JF0RueQG5mq3o6bCeLCk2FG6mZ=w408-h272-k-no,"https://www.google.com/maps/place/SF+Quality+Cleaning,+Inc./data=!4m7!3m6!1s0x808f9d1e0241934f:0x8b81ae6337201657!8m2!3d37.5899072!4d-122.3406434!16s%2Fg%2F11ftcl7w55!19sChIJT5NBAh6dj4ARVxYgN2OugYs?authuser=0&hl=en&rclk=1"
Forte of San Diego,4.1,15,Commercial cleaning service,"4901 Morena Blvd #209B, San Diego, CA 92117, United States",http://www.forte-sandiego.com/,quote@fortecommercialcleaning.com,No date,16195420404,https://lh5.googleusercontent.com/p/AF1QipPV78d8ynKSMcWMeI5ebKM96d-lfBEvVpj5fegA=w408-h408-k-no,https://www.google.com/maps/place/Forte+of+San+Diego/data=!4m7!3m6!1s0x80dbf8cc7779441f:0x22368bd0eae56c8e!8m2!3d32.8276923!4d-117.2302996!16s%2Fg%2F11bbx0c0_l!19sChIJH0R5d8z424ARjmzl6tCLNiI?authuser=0&hl=en&rclk=1
USA Clean Master,4.7,116,Carpet cleaning service,,https://www.usacleanmaster.com/carpetcleaning/washingtondc/,info@uscleaningingmaster.com,,12025582102,https://lh5.googleusercontent.com/p/AF1QipNw0KehBgpcEmXAToba0LFd8cm0NxMQk3W1f54=w422-h240-k-no,https://www.google.com/maps/place/USA+Clean+Master/data=!4m7!3m6!1s0x89b7b72f4262768f:0xb961b8b63c856dcf!8m2!3d38.8293145!4d-77.2232095!16s%2Fg%2F12m9g5k5v!19sChIJj3ZiQi-3t4kRz22FPLa4Ybk?authuser=0&hl=en&rclk=1
"Cleaning Services Group, Inc.",4.2,12,Janitorial service,"230 North St #1, Danvers, MA 01923, United States",https://www.csginc.com/,info@csingc.com,,18006836572,https://lh5.googleusercontent.com/p/AF1QipPgswbYfEr34HWpvs4rY4CY7hnDJQ45gkukkK1J=w408-h408-k-no,"https://www.google.com/maps/place/Cleaning+Services+Group,+Inc./data=!4m7!3m6!1s0x89e311acf5b23e85:0xd8312e33dc5d51c9!8m2!3d42.5988606!4d-70.9620854!16s%2Fg%2F1thmgdbn!19sChIJhT6y9awR44kRyVFd3DMuMdg?authuser=0&hl=en&rclk=1"
Quality Cleaning,4.2,23,House cleaning service,"628 Industrial Dr, Adrian, MI 49221, United States",http://www.qualitycleaning.pro/,No Email,No date,15177593247,https://lh5.googleusercontent.com/p/AF1QipMJkOgnq8wQ3SFEfnucewP9o0I7JzFGoMJeWlk=w426-h240-k-no,https://www.google.com/maps/place/Quality+Cleaning/data=!4m7!3m6!1s0x883cf059a2beb86d:0x10ed5d6743565a5c!8m2!3d41.8892136!4d-84.0664997!16s%2Fg%2F1ts3g8p4!19sChIJbbi-olnwPIgRXFpWQ2dd7RA?authuser=0&hl=en&rclk=1
The Night Shift,4.2,17,Janitorial service,"2721 E Main St #1, Endicott, NY 13760, United States",https://thenightshift.com/,info@thenightshift.com,2022,16077487794,https://lh5.googleusercontent.com/p/AF1QipOh-UlIK5OnrH3MgDxuG-DioFqCSUSSAAvX9r3n=w408-h272-k-no,https://www.google.com/maps/place/The+Night+Shift/data=!4m7!3m6!1s0x89daec5d9093a4c9:0xa5b0d18e883a3ddb!8m2!3d42.1058222!4d-76.0305124!16s%2Fg%2F1ttq32p_!19sChIJyaSTkF3s2okR2z06iI7RsKU?authuser=0&hl=en&rclk=1
The Cleaning Guy,4.6,129,House cleaning service,"3309 Robbins Rd #191, Springfield, IL 62711, United States",http://thecleaning-guy.com/,info@thecleaningguy.com,2011,12176981234,https://lh5.googleusercontent.com/p/AF1QipP2REjtbGHe5XTXmn1M0ZYwL3w8ofW1RlVOEzYE=w648-h240-k-no,https://www.google.com/maps/place/The+Cleaning+Guy/data=!4m7!3m6!1s0x88754769c00f5499:0xebbf6f9bdca3557d!8m2!3d39.7558568!4d-89.7134977!16s%2Fg%2F12hndq75s!19sChIJmVQPwGlHdYgRfVWj3Jtvv-s?authuser=0&hl=en&rclk=1
Nice and Clean,5,18,House cleaning service,"4010 Maury Pl # 18 B, Alexandria, VA 22309, United States",http://niceandclean.net/,No Email,No date,17033601282,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1enjRO2OXzYbBeqibXWHNg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=64.18805&pitch=0&thumbfov=100,https://www.google.com/maps/place/Nice+and+Clean/data=!4m7!3m6!1s0x89b7af629c862d21:0x5dc65d122073a5ed!8m2!3d38.7321592!4d-77.1005909!16s%2Fg%2F11b7lmyg7x!19sChIJIS2GnGKvt4kR7aVzIBJdxl0?authuser=0&hl=en&rclk=1
Quality Clean Carpet Cleaning,4.9,77,Carpet cleaning service,"4496 Darrow Rd Suite B, Stow, OH 44224, United States",https://qualitycleanohio.com/,info@qualitycleanohio.com,Copyright,18009087188,https://lh5.googleusercontent.com/p/AF1QipNUafJnY2fpqqXJdVmzEeoZELK1aodeEv7T8ECT=w427-h240-k-no,https://www.google.com/maps/place/Quality+Clean+Carpet+Cleaning/data=!4m7!3m6!1s0x88313bf5a800a5e5:0xc78db50ab3a30d9f!8m2!3d41.1871608!4d-81.4418955!16s%2Fg%2F12hm1jq2g!19sChIJ5aUAqPU7MYgRnw2jswq1jcc?authuser=0&hl=en&rclk=1
Northern Restoration,5,148,Pressure washing service,"81 Otley Rd, Headingley, Leeds LS6 3PS, United Kingdom",http://www.northernrestoration.co.uk/,No Email,,4.48008E+11,https://lh5.googleusercontent.com/p/AF1QipNmCtmjBiyUOW4mXRE4vdKa7R1FdOC24mQgBSSI=w426-h240-k-no,https://www.google.com/maps/place/Northern+Restoration/data=!4m7!3m6!1s0x48795937e752bdd9:0x724b0a97329dad7!8m2!3d53.822904!4d-1.579573!16s%2Fg%2F11cks7n9qt!19sChIJ2b1S5zdZeUgR19opc6mwJAc?authuser=0&hl=en&rclk=1
National Janitorial Solutions,2.8,28,Janitorial service,"1260 Glen Ave, Moorestown, NJ 08057, United States",http://www.natjan.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,sales@natjan.com,2023,18772276374,https://lh5.googleusercontent.com/p/AF1QipODY53-cxag9IA636VHnWYOkcrCr_-s7EiuIxj3=w408-h544-k-no,https://www.google.com/maps/place/National+Janitorial+Solutions/data=!4m7!3m6!1s0x89c134e8f29fcef3:0x479669a146810a5f!8m2!3d39.9690961!4d-74.976128!16s%2Fg%2F1v8x32pm!19sChIJ886f8ug0wYkRXwqBRqFplkc?authuser=0&hl=en&rclk=1
Nice and Clean,5,18,House cleaning service,"4010 Maury Pl # 18 B, Alexandria, VA 22309, United States",http://niceandclean.net/,No Email,No date,17033601282,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1enjRO2OXzYbBeqibXWHNg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=64.18805&pitch=0&thumbfov=100,https://www.google.com/maps/place/Nice+and+Clean/data=!4m7!3m6!1s0x89b7af629c862d21:0x5dc65d122073a5ed!8m2!3d38.7321592!4d-77.1005909!16s%2Fg%2F11b7lmyg7x!19sChIJIS2GnGKvt4kR7aVzIBJdxl0?authuser=0&hl=en&rclk=1
Boston’s Best Commercial Cleaning,5,3,Cleaning service,"270 Centre St B, Jamaica Plain, MA 02130, United States",http://bostonsbestcommercialcleaning.com/,info@bostonsbestcommercialcleaning.com,Copyright,16175531393,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0eq0UmBMFUVKMPnsisFOIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=184.216&pitch=0&thumbfov=100,https://www.google.com/maps/place/Boston%E2%80%99s+Best+Commercial+Cleaning/data=!4m7!3m6!1s0x89e37981ecd6536f:0x3c60b3f4f79efedc!8m2!3d42.3226945!4d-71.1009885!16s%2Fg%2F119twyb54!19sChIJb1PW7IF544kR3P6e9_SzYDw?authuser=0&hl=en&rclk=1
